Year,City,YP_Section,Name,Address,Cuisine
1996,Markham,Grocers-Retail,A & P Food Stores Ltd,5892 Main,
1996,Markham,Grocers-Retail,Asian Caribbean Food Inc,2002 Middlefield Rd,ethnic
1996,Markham,Grocers-Retail,Ballantrae Fruit & Vegetable Market,2 Stoufville,
1996,Markham,Grocers-Retail,Caribbean & Oriental Specialty Mart,1170 Morningside,ethnic
1996,Markham,Grocers-Retail,Caribbean & Oriental Specialty Mart,15 Westney,ethnic
1996,Markham,Grocers-Retail,caribbean fruit & vegetables,4500 steeles e,
1996,Markham,Grocers-Retail,cornella fine foods,7155 woodbine,
1996,Markham,Grocers-Retail,convenience 2000,1 mintleaf gate,
1996,Markham,Grocers-Retail,daya health foods,8236 yonge,indian
1996,Markham,Grocers-Retail,foodfair supermarket,4394 steeles e,
1996,Markham,Grocers-Retail,fortino's (Denison) Ltd,1661 Denison,
1996,Markham,Grocers-Retail,456 Supermarket,7220 Kennedy,
1996,Markham,Grocers-Retail,Fulfill SUpermarket,8 Shadlock St,
1996,Markham,Grocers-Retail,Garden Basket Food Market,9275 Markhan Rd,
1996,Markham,Grocers-Retail,Kissan East Indian Food,7200 Markham Rd,South asian
1996,Markham,Grocers-Retail,Knob hill farms ltd,hwy 7,
1996,Markham,Grocers-Retail,markham convenience store,23 wootten way n,
1996,Markham,Grocers-Retail,ok food mark,98 main st n,
1996,Markham,Grocers-Retail,oriental food mart,5 hillcroft dr,ethnic
1996,Markham,Grocers-Retail,rosner food store,4981 hwy 7 ,
1996,Markham,Grocers-Retail,sadroo's grocery supplies ltd,487 mcnicoll,ethnic
1996,Markham,Grocers-Retail,sashimi house,50 lockridge,
1996,Markham,Grocers-Retail,seoley supermarket ltd,7750 kennedy,
1996,Markham,Grocers-Retail,seven star market,5261 hwy 7,
1996,Markham,Grocers-Retail,shalimar halal meat grocery & video,4855 14th,
1996,Markham,Grocers-Retail,shop 2000 ltd,121 don park,
1996,Markham,Grocers-Retail,spicetown halal meat & vegetable market,280 elson,
1996,Markham,Grocers-Retail,stouffville iga market,6327 main,
1996,Markham,Grocers-Retail,ultra-mart food & drug,markville centre,
1996,Markham,Grocers-Retail,wah yan supermarket,8360 kennedy,
1996,Markham,Grocers-Retail,way hong trading company,2 fenton,
1996,Markham,Grocers-Retail,weston produce inc,9625 yonge,
1996,Markham,Grocers-Retail,young's market,5833 hwy 7,
1996,Markham,Grocers-Retail,yu-fung rading inc,25 glen watford dr,
1996,Markham,grocers-whole,empire foods limited,205 Torbay,
1996,Markham,grocers-whole,Jamcan caribbean imports inc,1111 finch w,
1996,Markham,grocers-whole,landford trading company,100 steelcase e,
1996,Markham,grocers-whole,lanzarotta wholesale grocers limited,10 ronrose dr,
1996,Markham,grocers-whole,m & m twins limited,100 dynamic dr,
1996,Markham,grocers-whole,wenho company ltd,205 konrad cr,
1996,Markham,grocers-whole,winford trading co ltd,3400 14th,
1996,Markham,restaurants,a & w food services of canada ltd,5000 hwy 7,
1996,Markham,restaurants,acme chinese cuisine,7077 kennedy,
1996,Markham,restaurants,ah-so gardens japanese rest,614 jarvis,
1996,Markham,restaurants,akasaka japanese rest,280 west beaver creek,
1996,Markham,restaurants,al dente ristorante italiano,39 main st,
1996,Markham,restaurants,al khaima dining theatre,767 dovercourt,ethnic
1996,Markham,restaurants,alden coffee shoop,431 aiden rd,
1996,Markham,restaurants,amaretto rest,67 edward,
1996,Markham,restaurants,amarone ristorante,4850 yonge,
1996,Markham,restaurants,ambassador chinese cuisine,280 west beaver creek,
1996,Markham,restaurants,angie's eatery,5402 main,
1996,Markham,restaurants,barberian's steak house,7 elm,
1996,Markham,restaurants,barclay's steak & seafood,1921 lawrence av e,
1996,Markham,restaurants,beaver's cabin,182 main,
1996,Markham,restaurants,beefeaters deli rest,6302 main st,
1996,Markham,restaurants,beijing garden mandarin szechuan rest,8362 kennedy,
1996,Markham,restaurants,belamys rest,4261 hwy 7,
1996,Markham,restaurants,benihana the japanese steakhouse,100 front w,
1996,Markham,restaurants,bi country diner,6162 main st,
1996,Markham,restaurants,bigliardi's steak seafood & pasta rest,463 church,
1996,Markham,restaurants,bombay palace,795 markham rd,indian
1996,Markham,restaurants,bon friand ,4392 steeles e,
1996,Markham,restaurants,bravo bistro,7850 woodbine av,
1996,Markham,restaurants,briars the,jackson's point,
1996,Markham,restaurants,britannia pub & grill,7359 yonge,
1996,Markham,restaurants,brodie's rest & dining lounge,4550 hwy 7,
1996,Markham,restaurants,burger king,7240 kennedy,
1996,Markham,restaurants,burger king,14879 yonge,
1996,Markham,restaurants,c j's rest,9582 hwy 48,
1996,Markham,restaurants,cafe jardin,90 nolan crt,
1996,Markham,restaurants,canton seafood rest,8380 kennedy,
1996,Markham,restaurants,carman's club steak & seafood,26 alexander,
1996,Markham,restaurants,carnation rest,7220 kennedy,
1996,Markham,restaurants,carnegie place,8375 woodbine,
1996,Markham,restaurants,century palace,398 ferrier,
1996,Markham,restaurants,chicken place,14800 yonge,
1996,Markham,restaurants,china buffet king,9737 yonge,
1996,Markham,restaurants,china chalet rest limited,65 unionville gate,
1996,Markham,restaurants,citrus family rest,9441 hwy 48,
1996,Markham,restaurants,cn tower 360 revolving rest,301 front w,
1996,Markham,restaurants,cobra cafe & sports bar,9331 markham,
1996,Markham,restaurants,cochrane connor rest,675 cochrane dr,
1996,Markham,restaurants,cofee time,5694 hwy 7,
1996,Markham,restaurants,colonade cafe,5812 main st,
1996,Markham,restaurants,colonel mustard's ,6545 hwy 7,
1996,Markham,restaurants,congee wong inc,8390 kennedy,
1996,Markham,restaurants,corner house rest,6403 main,
1996,Markham,restaurants,cotton club the,7750 markham,
1996,Markham,restaurants,country club diner,6400 main,
1996,Markham,restaurants,country stop burgers,15101 hwy 48,
1996,Markham,restaurants,cuisine wok chinese food,4421 hwy 7,
1996,Markham,restaurants,danny's fish & chips,4721 hwy 7,
1996,Markham,restaurants,da vincenzo rest & banquet rooms,2800 14th,
1996,Markham,restaurants,devonsleigh place,4125 steeles e,
1996,Markham,restaurants,doulble k burger rest,8366 woodbine,
1996,Markham,restaurants,druxy's famous deli sandwiches,buttonville airport,
1996,Markham,restaurants,duchess of markham the,53 main st,
1996,Markham,restaurants,east of witchurch the,6204 main,
1996,Markham,restaurants,east moon rest,2150 steeles av w,
1996,Markham,restaurants,eastern rest,1 stone mason dr,
1996,Markham,restaurants,eat's rest,7750 markham,
1996,Markham,restaurants,eddy's dining lounge,8199 yonge,
1996,Markham,restaurants,ellas rest banquet & catering,702 pape,
1996,Markham,restaurants,famous sams rest,12275 woodbine av,
1996,Markham,restaurants,farmstead rest & tavern,7354 woodbine ,
1996,Markham,restaurants,father's,8515 mccowan n,
1996,Markham,restaurants,fettine italian sandwich,8525 msccowan,
1996,Markham,restaurants,fish house the,2035 sheppard e,
1996,Markham,restaurants,footloose nightclug & rest,markham shopping centre,
1996,Markham,restaurants,14th avenue cafe,590 alden rd,
1996,Markham,restaurants,frankie tomatto's,7225 woodbine,
1996,Markham,restaurants,fullerton's place,6211 main st,
1996,Markham,restaurants,g g's bug cafe,5892 main,
1996,Markham,restaurants,garuda rest,373 eglinton w,
1996,Markham,restaurants,george's tastee bakery & deli,600 denison,
1996,Markham,restaurants,gi mei snack house ltd,market village,
1996,Markham,restaurants,ginsberg & wong,70 st patrick,
1996,Markham,restaurants,golden flame rest,9116 yonge,
1996,Markham,restaurants,golden fountain rest,6291 main st,
1996,Markham,restaurants,golden griddle family rest,7100 woodbine,
1996,Markham,restaurants,golden palace chinese cuisine,1661 denison,
1996,Markham,restaurants,golden spring rest ltd,4396 steeles e,
1996,Markham,restaurants,good eat rest,6294 main w,
1996,Markham,restaurants,good world chinese rest,146 old kennedy rd,
1996,Markham,restaurants,goody's rest & dining lounge,5000 hwy 7,
1996,Markham,restaurants,graceful garden rest ltd,1661 denison,
1996,Markham,restaurants,grand yatt hcinese rest,9019 bayview av,
1996,Markham,restaurants,grandma lee's,markville shopping centre,
1996,Markham,restaurants,great canadian bagel the,9275 hwy 48,
1996,Markham,restaurants,grisanti's rest,3760 hwy 7,
1996,Markham,restaurants,gulf village inc bar & grill,1020 denison,
1996,Markham,restaurants,hama japanese rest,4372 steeles e,
1996,Markham,restaurants,hank's diner,10 alden rd,
1996,Markham,restaurants,harvey's rest,5284 hwy 7,
1996,Markham,restaurants,harvey's serving swiss chalet chicken & ribs,15 sandale,
1996,Markham,restaurants,helen sura services ltd,7030 woodbine,
1996,Markham,restaurants,helena rest & tavern,1549 steeles e,
1996,Markham,restaurants,heritage arms pub & rest,144 main st n,
1996,Markham,restaurants,hogan's inn at four corners,12998 keele st,
1996,Markham,restaurants,honey garlic buffet inc,80 acadia,
1996,Markham,restaurants,hunters nest inn the,125 dickson hill,
1996,Markham,restaurants,ichiban ichiban,4390 steeles e,
1996,Markham,restaurants,il cibo express cafe,820 denison,
1996,Markham,restaurants,il giardino ristorante,15 wertheim crt,
1996,Markham,restaurants,jake's on main,202 main,
1996,Markham,restaurants,jasmine chinese food,4350 steeles e,
1996,Markham,restaurants,joey's only seafood rest,4261 hwy 7,
1996,Markham,restaurants,judy c's rest,625 cochrane dr,
1996,Markham,restaurants,jumbo seafood rest,5000 hwy 7,
1996,Markham,restaurants,just desserts,6040 hwy 7,
1996,Markham,restaurants,kagoshima japanese rest,8362 kennedy,
1996,Markham,restaurants,kally's rest & banquet rooms,430 nugget,
1996,Markham,restaurants,kally's rest & banquet rooms,2928 eglinton e,
1996,Markham,restaurants, katsura japanese rest the prince hotel,900 york mills,
1996,Markham,restaurants,keg rest ltd,60 estate dr,
1996,Markham,restaurants,kelsey's rest,3100 steeles e,
1996,Markham,restaurants,kfc,55 harvest moon dr,
1996,Markham,restaurants,kfc,4687 hwy 7,
1996,Markham,restaurants,kfc,5863 hwy 7,
1996,Markham,restaurants,kfc,5000 hwy 7,
1996,Markham,restaurants,kfc,5812 main w,
1996,Markham,restaurants,kfc,2002 middlefield,
1996,Markham,restaurants,kfc,17415 yonge st,
1996,Markham,restaurants,kevin garden chinese foods,seven stars plaza,
1996,Markham,restaurants,kidagima seafood house ltd,8380 kennedy,
1996,Markham,restaurants,koya japan,5000 hwy 7,
1996,Markham,restaurants,la castile steak house & tavern,2179 dundas e,
1996,Markham,restaurants,la grotta on main,205 main,
1996,Markham,restaurants,lake tia seafood rest ltd,8362 kennedy,
1996,Markham,restaurants,la rosa rest & banquet hall,25 lanark rd,
1996,Markham,restaurants,larry & frankie rest,555 cochrane dr,
1996,Markham,restaurants,la sem ristorante,1237 finch av w,
1996,Markham,restaurants,le continental dining room the prince hotel,900 york mills,
1996,Markham,restaurants,lichee garden,595 bay,
1996,Markham,restaurants,lite bite rest & catering,240 riviera dr,
1996,Markham,restaurants,little caesers pizza,5762 hwy 7,
1996,Markham,restaurants,livingwater rest,139 main st,
1996,Markham,restaurants,lorhon vegetarian house ltd,4370 steeles e,
1996,Markham,restaurants,magic wok cantonese cuisine ltd,4331 fourteenth,
1996,Markham,restaurants,main st grill,66 main st n,
1996,Markham,restaurants,man woo seafood rest,8425 woodbine,
1996,Markham,restaurants,machu wok,markville chopping centre,
1996,Markham,restaurants,mandarin rest,7660 woodbine,
1996,Markham,restaurants,market express,4350 steeles e,
1996,Markham,restaurants,masa japense rest,205 richmond w,
1996,Markham,restaurants,matsu japanese rest,4852 yonge st,
1996,Markham,restaurants,mcdonald's rest,5000 hwy 7,
1996,Markham,restaurants,medieval times,exhibiltion pl,
1996,Markham,restaurants,michaelangelo fine italian cuisine,1910 gerrard e,
1996,Markham,restaurants,milliken rest & deli,7725 birchmount rd,
1996,Markham,restaurants,mino japanese rest,8500 warden,
1996,Markham,restaurants,moghal rest & tavern,415 hood,
1996,Markham,restaurants,mr pizza eatery & cafe,5710 main st,
1996,Markham,restaurants,mr sub,4471 hwy 7,
1996,Markham,restaurants,negril baked goods & take out foods,5 hillcroft dr,
