Year,City,YP_Section,Name,Address,Cuisine
2001,Scarborough,Grocery-Retail,al-ittihad halal meat & groc,1801 lawrence av e,
2001,Scarborough,Grocery-Retail,al mubrak halal meat,2183 lawrence e,
2001,Scarborough,Grocery-Retail,al-quresh foods,1879 lawerence av e,ethnic
2001,Scarborough,Grocery-Retail,alamin halal meat,1977 Lawrence Av E,
2001,Scarborough,Grocery-Retail,bamburgh food mart,355 bamburgh cir,
2001,Scarborough,Grocery-Retail,best buy west indian store,2400 eglinton,
2001,Scarborough,Grocery-Retail,bombay bazaar,3601 lawrence av e,south asian
2001,Scarborough,Grocery-Retail,caribbean & oriental specialty mart,1170 Morningside Av,ethnic
2001,Scarborough,Grocery-Retail,chankanai market inc,2800 eglinton,sri lankan
2001,Scarborough,Grocery-Retail,ganesha spicy mart,3743 lawrence av e,south asian
2001,Scarborough,Grocery-Retail,india town food & spices,641 markham rd,indian
2001,Scarborough,Grocery-Retail,indian groceries & spices,1983 lawrence av e,indian
2001,Scarborough,Grocery-Retail,maihan  grocery store,462 birchmount,
2001,Scarborough,Grocery-Retail,mirch masal groceries inc,318 painted post dr,south asian
2001,Scarborough,Grocery-Retail,mohammad halal meat & grocery,3226 eglinton,
2001,Scarborough,Grocery-Retail,nasr foods inc,1996 lawrence av e,
2001,Scarborough,Grocery-Retail,ontario halal meat & groceries,4402 kingston rd,
2001,Scarborough,Grocery-Retail,poombhuhar traders inc,2190 Warden Av ,south asian
2001,Scarborough,Grocery-Retail,prasad caribbean & oriental specialty,5815 sheppard av e,ethnic
2001,Scarborough,Grocery-Retail,prem grocerie fish & meat,3857 lawrence av e,
2001,Scarborough,Grocery-Retail,priya supermarket,2304 eglinton av e,ethnic
2001,Scarborough,Grocery-Retail,royal kerala foods,1158 warden,indian
2001,Scarborough,Grocery-Retail,sankar international,2425 eglinton e,ethnic
2001,Scarborough,Grocery-Retail,saravana's market,1023 markham rd,ethnic
2001,Scarborough,Grocery-Retail,siraj halal meat & grocery,840 danforth,
2001,Scarborough,Grocery-Retail,spice town and halal meat store,3258 lawrence av e,
2001,Scarborough,Grocery-Retail,super bazar,1505 birchmount,ethnic
2001,Scarborough,Grocery-Retail,zabeeha meat & grocery,1536 warden,
2001,Scarborough,Grocery-Whole,halal meat & super market,234 markham rd,
2001,Scarborough,Grocery-Retail,A K Variety,221 Kennedy Rd,
2001,Scarborough,Grocery-Retail,Akkad Halal Meat & Groceries,1885 Lawrence Av,
2001,Scarborough,Grocery-Retail,Al-Mumtaz Butt Foods,14 Tower Dr,ethnic
2001,Scarborough,Grocery-Retail,Alberto Grocery & Vegetable Store,472 Sammon Av,
2001,Scarborough,Grocery-Retail,Big Land Farm Milliken Ltd,17 Milliken Blvd,
2001,Scarborough,Grocery-Retail,Charley's West Indian Foods Ltd,1170 Morningside Av,
2001,Scarborough,Grocery-Retail,Charry's Fine Foods,1071 Danforth Rd,
2001,Scarborough,Grocery-Retail,City Super Market,3330 Pharmacy Av,
2001,Scarborough,Grocery-Retail,Cliffcrest Foodtown Limited,2989 Kingston Rd,
2001,Scarborough,Grocery-Retail,Constant Spring Market,731 Kennedy Rd,
2001,Scarborough,Grocery-Retail,Duxcan Import & Export Inc,100 McLevin Av,
2001,Scarborough,Grocery-Retail,East End Tropical Market,4520 Kingston Rd,
2001,Scarborough,Grocery-Retail,Iwok Supermarket,2300 Lawrence Av E,
2001,Scarborough,Grocery-Retail,King of Samosa Take Out Groceries,283 Morningside Av,south asian
2001,Scarborough,Grocery-Retail,King's Variety,4280 Kingston Rd,
2001,Scarborough,Grocery-Retail,Kingston Market,4379 Kingston Rd Scrb,
2001,Scarborough,Grocery-Retail,Lamshing Company,4211 Sheppard Av E,
2001,Scarborough,Grocery-Retail,Lillies Tropical Food ,202 Markham Rd,
2001,Scarborough,Grocery-Retail,M & J Variety Latin American & Caribbean Food,1352 Kennedy Rd,
2001,Scarborough,Grocery-Retail,M & M Filipino Foodmart,80 Ellsmere Rd,
2001,Scarborough,Grocery-Retail,Marsan Foods Ltd,46 Modern Rd,
2001,Scarborough,Grocery-Retail,Minaz's Markham Market Place,2826 Markham Rd,ethnic
2001,Scarborough,Grocery-Retail,Mr Grocer,123 Guildwood Pkway,
2001,Scarborough,Grocery-Retail,Ohmsiva Trading,3852 Finch Av E,ethnic
2001,Scarborough,Grocery-Retail,Ontargo Ltd,4168 Finch Av E,
2001,Scarborough,Grocery-Retail,Pombhuhar Traders Inc,2190 Warden Av ,south asian
2001,Scarborough,Grocery-Retail,Puspa Trading Company,1221 Markham Rd,
2001,Scarborough,Grocery-Retail,Rubini East & West Indian Food Market,31 Tapscott Rd ,ethnic
2001,Scarborough,Grocery-Retail,S T Agincourt Variety,4134 Sheppard Av E,
2001,Scarborough,Grocery-Retail,Saadat Foods,2653 Eglinton Av E,ethnic
2001,Scarborough,Grocery-Retail,Sak's Fine Food,1677 O'Connor Dr,
2001,Scarborough,Grocery-Retail,Scarborough Zabeeha Meat & Grocery Supplies,4800 Sheppard Av E,ethnic
2001,Scarborough,Grocery-Retail,Serendip Fresh Market,2633 Eglinton Av E,
2001,Scarborough,Grocery-Retail,Solas Market,2588 Birchmount Rd,
2001,Scarborough,Grocery-Retail,Super Shiraz ,1977 Lawrence Av E,ethnic
2001,Scarborough,Grocery-Retail,Surag Fine Foods,11 Ivy Bush Av,
2001,Scarborough,Grocery-Retail,Taj Supermarket,400 Sewells Rd,indian
2001,Scarborough,Grocery-Retail,Uni Food Market,4466 Sheppard Av E,
2001,Scarborough,Grocery-Retail,Video & Filipino Food Mart,80 Ellesmere Rd,
2001,Scarborough,Grocery-Retail,West Indian Groceries & Take Out,1872 Kennedy Rd,
2001,Scarborough,Grocery-Retail,Yarlton,2104 Bridletowne Cir,
2001,Scarborough,Grocery-Retail,Yoga's,733 Kennedy Rd,
2001,Scarborough,Grocery-Retail,Yousaf Halal Meat,551 Markham Rd,
2001,Scarborough,Grocery-Retail,Zain's,11 Ivy Bush Av,ethnic
2001,Scarborough,Grocery-Retail,Zee India Ltd,746 Markham Rd,indian
2001,Scarborough,Grocery-Whole,Club Presentations,1411 Warden Av,
2001,Scarborough,Grocery-Whole,Kingfresh Trading Ltd,75 Milliken Blvd,
2001,Scarborough,Grocery-Whole,Kingsdale Trading Co Ltd,77 Milliken Blvd,
2001,Scarborough,Grocery-Whole,Mateen Food,4800 Sheppard Av E,ethnic
2001,Scarborough,Grocery-Whole,Wing May Trading Co Ltd,60 Weybright Crt,
2001,Scarborough,Grocery-Whole,Wong's Food Trading Co,63 Silver Star Blvd,
2001,Scarborough,Restaurants,A 1 Sweets Restaurant,3300 McNeill Av,
2001,Scarborough,Restaurants,A C R Hot Roti & Doubles,2680 Lawrence Av ,
2001,Scarborough,Restaurants,A&W Area Restaurants,825 Middlefield Rd,
2001,Scarborough,Restaurants,Ackee Tree Restaurant,331 Glendower Circuit ,
2001,Scarborough,Restaurants,Ali Baba Cafe & Restaurant,1601 Birchmount Rd,
2001,Scarborough,Restaurants,All Star Bar & Eatery,4170 Kingston Rd,
2001,Scarborough,Restaurants,Angie's,2647 Eglinton Av,
2001,Scarborough,Restaurants,Appleby's Sports Bar & Grill,2787 Eglinton Av E,
2001,Scarborough,Restaurants,Apsharas Restaurant,2778 Kennedy Rd,indian
2001,Scarborough,Restaurants,Arkadia House,2007 Eglinton Av E,
2001,Scarborough,Restaurants,Bagel Basket,2834 Markham Rd,
