Year,City,YP_Section,Name,Address,Cuisine,
2016,Scarborough,Grocery-Retail,Aavs Super Stores Inc,3268 Finch E,,
2016,Scarborough,Grocery-Retail,Adama Take Out & Grocery,346 DUndas E,,
2016,Scarborough,Grocery-Retail,Adonai ,4379 Kingston,,
2016,Scarborough,Grocery-Retail,afghan supermarket inc,549 markham,,
2016,Scarborough,Grocery-Retail,afro canadian halal eat,840 danforth rd,,
2016,Scarborough,Grocery-Retail,al-meezan grocery and halal meat,,,
2016,Scarborough,Grocery-Retail,Al-Mumtaz Super Market,10 Tower Dr,ethnic,
2016,Scarborough,Grocery-Retail,al-nour halal meat and gr,5650 sheppard e,,
2016,Scarborough,Grocery-Retail,al quresh foods,487 mcNicoll,ethnic,
2016,Scarborough,Grocery-Retail,al tawakkul halal foods,2820 markham,,
2016,Scarborough,Grocery-Retail,alladin Halal meat & food,801 markham rd,,
2016,Scarborough,Grocery-Retail,alwalaa halal meat & groceries,1728 lawrence e,,
2016,Scarborough,Grocery-Retail,apirami supermarket,3585 keele,ethnic,
2016,Scarborough,Grocery-Retail,araz bakery,1646 victoria park,,
2016,Scarborough,Grocery-Retail,ashbourne grocery,3888 bloor w,,
2016,Scarborough,Grocery-Retail,asian core filipino foods,80 ellesmere rd,,
2016,Scarborough,Grocery-Retail,asian farm supermarket,247 spadina av,,
2016,Scarborough,Grocery-Retail,asian farm supermarket,3813 sheppard e,,
2016,Scarborough,Grocery-Retail,atwima market,287 morningside ,,
2016,Scarborough,Grocery-Retail,baksh halal meat,3160 Eglinton Av E,,
2016,Scarborough,Grocery-Retail,baksh halal meats,1666 jane,,
2016,Scarborough,Grocery-Retail,bala supermarket,1474 queen w,ethnic,
2016,Scarborough,Grocery-Retail,banglatown supermarket,2982 Danforth Av,bangladeshi,
2016,Scarborough,Grocery-Retail,batala supermarket,200 markham rd,indian,
2016,Scarborough,Grocery-Retail,bestway food center,2626 islington,,
2016,Scarborough,Grocery-Retail,blue sky supermarket,1593 wilson,,
2016,Scarborough,Grocery-Retail,bombay bazaar,3601 lawrence av e,indian,
2016,Scarborough,Grocery-Retail,brioni supermarket,169 gary dr,,
2016,Scarborough,Grocery-Retail,btrust supermarket,1105 wilson,,
2016,Scarborough,Grocery-Retail,busy bee king mart,677 king st w,,
2016,Scarborough,Grocery-Retail,c s carribbean supermarket inc,2950 eglinton av,,
2016,Scarborough,Grocery-Retail,c&t supermarket,,,
2016,Scarborough,Grocery-Retail,canadian baja natural & green foods,31 progress,,
2016,Scarborough,Grocery-Retail,caribbean foods,2186 queen e,,
2016,Scarborough,Grocery-Retail,carribean island food,3432 weston,,
2016,Scarborough,Grocery-Retail,central market,1430 king w,,
2016,Scarborough,Grocery-Retail,chakula east african,1690 eglinton ave,,
2016,Scarborough,Grocery-Retail,Charley's West Indian Foods Ltd,1154 Morningside Av,,
2016,Scarborough,Grocery-Retail,cheers,685 lansdowne,,
2016,Scarborough,Grocery-Retail,christopher's no frills,1450  lawerence av e,,
2016,Scarborough,Grocery-Retail,Chung hing Supermarket,17 milliken,,
2016,Scarborough,Grocery-Retail,coppa's fresh market,4750 dufferin,,
2016,Scarborough,Grocery-Retail,courage foods ltd,946 kingston,,
2016,Scarborough,Grocery-Retail,crawford market,596 crawford,,
2016,Scarborough,Grocery-Retail,daily frsh supermarket,199 chuch,,
2016,Scarborough,Grocery-Retail,Daisy Mart,2300 eglinton e,,
2016,Scarborough,Grocery-Retail,Daisy Mart,5739 sheppard av e,,
2016,Scarborough,Grocery-Retail,danforth food market pharmacy,3051 pharmacy av,,
2016,Scarborough,Grocery-Retail,dashmesh grocery and variety,1826 st clair av w,,
2016,Scarborough,Grocery-Retail,ding feng group inc,4865 sheppard av e,,
2016,Scarborough,Grocery-Retail,distillery market,41 mill,,
2016,Scarborough,Grocery-Retail,dostana grocers,38 rexdale,south asian,
2016,Scarborough,Grocery-Retail,eraa supermarket,2607 eglinton av e,sri lankan,
2016,Scarborough,Grocery-Retail,eraa supermarket,5930 finch e,sri lankan,
2016,Scarborough,Grocery-Retail,everything store,923 pape ave,,
2016,Scarborough,Grocery-Retail,fallingbrook market & cafe,158 fallingbrook rd,,
2016,Scarborough,Grocery-Retail,family mart plus,3355 ellesmere ,,
2016,Scarborough,Grocery-Retail,family supermarket,2304 eglinton av e,,
2016,Scarborough,Grocery-Retail,farm fresh supermarket,4466 sheppard av e,,
2016,Scarborough,Grocery-Retail,feng tai supermarket,355 bamburgh cir,,
2016,Scarborough,Grocery-Retail,food depot,155 dupont,,
2016,Scarborough,Grocery-Retail,food depot supermarket,3331 sheppard av e,,
2016,Scarborough,Grocery-Retail,foodland,107 parkway forest dr,,
2016,Scarborough,Grocery-Retail,fresh buy market,1913 yongu,,
2016,Scarborough,Grocery-Retail,fu yao supermarket,462 birchmount rd,,
2016,Scarborough,Grocery-Retail,galati bros inc,2592 finch av e,,
2016,Scarborough,Grocery-Retail,garden foods,1964 bloor w,,
2016,Scarborough,Grocery-Retail,great food supermarket,1400 victoria park,,
2016,Scarborough,Grocery-Retail,grocery and bargain,2650 st clair av e,,
2016,Scarborough,Grocery-Retail,gta gr,5215 finch e,,
2016,Scarborough,Grocery-Retail,Habibula Habib,3874 Lawrence E,,
2016,Scarborough,Grocery-Retail,harar grocer inc,1320 bloor w,,
2016,Scarborough,Grocery-Retail,hasty market,300 simcoe st,,
2016,Scarborough,Grocery-Retail,Highland Creek Supermarket,362 Old Kingston,,
2016,Scarborough,Grocery-Retail,hm cash,200 elizabeth,,
2016,Scarborough,Grocery-Retail,hm cash,190 sherway dr,,
2016,Scarborough,Grocery-Retail,hm cash,55 university,,
2016,Scarborough,Grocery-Retail,ho ho ho food products,8 glen watford,,
2016,Scarborough,Grocery-Retail,Hong Tai Supermarket,2555 Victoria Park,,
2016,Scarborough,Grocery-Retail,iga,2040 queen e,,
2016,Scarborough,Grocery-Retail,india africa grocers ltd,2121 jane st,ethnic,
2016,Scarborough,Grocery-Retail,India Town Food & Spices,641 Markham Rd,india,
2016,Scarborough,Grocery-Retail,iyappans groceries,2877 jane,,
2016,Scarborough,Grocery-Retail,Jaffna Superstore Inc,1221 Markham Rd,sri lanka,
2016,Scarborough,Grocery-Retail,jam's convenience & variety,1784 weston,,
2016,Scarborough,Grocery-Retail,KWS Trading Inc,1571 Sandhurst Cir,,
2016,Scarborough,Grocery-Retail,Kashmir Food,1073 Midland Av,south asian,
2016,Scarborough,Grocery-Retail,kibi and babi supermarket,3585 keele,,
2016,Scarborough,Grocery-Retail,kim's grocery,878 weston rd,,
2016,Scarborough,Grocery-Retail,king's food market,1326 king w,,
2016,Scarborough,Grocery-Retail,Kingston Market,4379 Kingston Rd,,
2016,Scarborough,Grocery-Retail,ko foods,2842 dudnas w,,
2016,Scarborough,Grocery-Retail,kolbo kosher foods inc,11 richelieu,,
2016,Scarborough,Grocery-Retail,kosher city plus,3468 bathurst,,
2016,Scarborough,Grocery-Retail,krishna grocery,820 markham,south asian,
2016,Scarborough,Grocery-Retail,kulbir singh,400 sewells,ethnic,
2016,Scarborough,Grocery-Retail,Lamshing Company,23 glen watford,,
2016,Scarborough,Grocery-Retail,leizity general inc,2189 WESTON,,
2016,Scarborough,Grocery-Retail,Lone Tai Supermarket,2300 Lawrence Av E,,
2016,Scarborough,Grocery-Retail,Lone Thai Supermarket,2300 Lawrence Av E,,
2016,Scarborough,Grocery-Retail,long hui supermarket,2437 finch av,,
2016,Scarborough,Grocery-Retail,ls capocci ,50 morrison av,,
2016,Scarborough,Grocery-Retail,lucky conveninece,244 perth av,,
2016,Scarborough,Grocery-Retail,Lucky Dollar Food Centre (East),6099 Kingston Rd,,
2016,Scarborough,Grocery-Retail,lucky moose,393 dundas,,
2016,Scarborough,Grocery-Retail,lukes grocery,635 logan,,
2016,Scarborough,Grocery-Retail,m and b tropical grocery,351 albion rd,,
2016,Scarborough,Grocery-Retail,makola tropical foods,56 beverly hills dr,,
2016,Scarborough,Grocery-Retail,marcheleo's inc,181 eglinton e,,
2016,Scarborough,Grocery-Retail,mcewan ,38 karl fraser,,
2016,Scarborough,Grocery-Retail,mcewan foods,66 wellington w,,
2016,Scarborough,Grocery-Retail,Meat Express,328 Passmore,,
2016,Scarborough,Grocery-Retail,monawar hamad,1616 gerrard e,ethnic,
2016,Scarborough,Grocery-Retail,m2 m asian foods inc,5545 yonge,,
2016,Scarborough,Grocery-Retail,national supermarket,2700 kipling,,
2016,Scarborough,Grocery-Retail,Nethu NN Supermarket,3268 finch E,,
2016,Scarborough,Grocery-Retail,new bloor gardEN,1066 BLOOR W,,
2016,Scarborough,Grocery-Retail,new kabul halal meat inc,5010 steeles w,,
2016,Scarborough,Grocery-Retail,New Kalyani Supermarket,3160 Eglinton Av E,sri lanka,
2016,Scarborough,Grocery-Retail,new spiceland supermarket,6065 steeles e,,
2016,Scarborough,Grocery-Retail,Nicey's Food Mart,50 Morecambe Gate,,
2016,Scarborough,Grocery-Retail,oba market,1840 jane st,,
2016,Scarborough,Grocery-Retail,ocean palace,1480 jane,,
2016,Scarborough,Grocery-Retail,ofc distribution inc,165 the queensway,,
2016,Scarborough,Grocery-Retail,om india food centre,1729 albion,india,
2016,Scarborough,Grocery-Retail,ontario food market,2863 lake shore bl w,,
2016,Scarborough,Grocery-Retail,oriental food mart,1015 pape av,ethnic,
2016,Scarborough,Grocery-Retail,oriental food mart mccowan,250 alton towers cir,ethnic,
2016,Scarborough,Grocery-Retail,Oriental Giant Food Mart Inc,462 Birchmount,ethnic,
2016,Scarborough,Grocery-Retail,palmer food market,17 palmer av,,
2016,Scarborough,Grocery-Retail,palmerston food market,721 palmerston av,,
