Year,City,YP_Section,Name,Address,Cuisine
1996,Scarborough,Grocers-Retail,ABC Supermarket,4915 Steeles E,
1996,Scarborough,Grocers-Retail,Al-Mustafa Halal Meat & Grocery Ltd,357 Pitfield,
1996,Scarborough,Grocers-Retail,Al-quresh Foods,1879 Lawrence Av E,ethnic
1996,Scarborough,Grocers-Retail,Allied Food Service,4500 Shepherd Av E,
1996,Scarborough,Grocers-Retail,Al's Tropical Food Kin,1357 Danforth Rd,
1996,Scarborough,Grocers-Retail,Anu Brothers Inc,267 Morningside,ethnic
1996,Scarborough,Grocers-Retail,Asian Food And Video,1960 Lawrence Ac E,
1996,Scarborough,Grocers-Retail,Avm Foodmart Convenience,1183 Victoria Park,
1996,Scarborough,Grocers-Retail,Bamburgh Food Mart,355 Bamburgh Cir,
1996,Scarborough,Grocers-Retail,Best Buy West Indian Store,2400 Eglinton E,
1996,Scarborough,Grocers-Retail,Big Land Farms Milliken Ltd,17 Milliken ,
1996,Scarborough,Grocers-Retail,Caribbean & Oriental Specialty Mart,1170 Morningside,ethnic
1996,Scarborough,Grocers-Retail,Caribbean & Oriental Specialty Mart,15 Westney N,ethnic
1996,Scarborough,Grocers-Retail,Centennial Market,285 Lawson,
1996,Scarborough,Grocers-Retail,Cey-Nore Food Traders,80 Ellesmere,
1996,Scarborough,Grocers-Retail,Charley's West Indian Foods Ltd,1646 Victoria Park,
1996,Scarborough,Grocers-Retail,Charry's Fine Foods,1071 Danforth Rd,
1996,Scarborough,Grocers-Retail,Chueng Sing Supermarket,2950 Birchmount,
1996,Scarborough,Grocers-Retail,City Grocer's & Meats,2245 Kennedy,
1996,Scarborough,Grocers-Retail,Cleopatra Groceries & Delicatessen,1169 Victoria Park,
1996,Scarborough,Grocers-Retail,Cliffcrest Foodtown Limited,2989 Kingston Rd,
1996,Scarborough,Grocers-Retail,Constant Spring Market,731 Kennedy,
1996,Scarborough,Grocers-Retail,Corner Market,3075 Pharmacy Av,
1996,Scarborough,Grocers-Retail,Daily Needs,2543 Pharmacy Av,
1996,Scarborough,Grocers-Retail,Daisy Mart,4865 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Danny Convenience,2422 Kingston Rd,
1996,Scarborough,Grocers-Retail,Deena Halal Meat & Grocery,2680 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Dominion Stores Inc,91 Rylander Bl,
1996,Scarborough,Grocers-Retail,Dragon Centre Supermarket,23 Glen Watford Dr,
1996,Scarborough,Grocers-Retail,Drymmy's Grocery Inc,3869 Lawrence Av E,
1996,Scarborough,Grocers-Retail,East End Tropical Market,155 Morningside,
1996,Scarborough,Grocers-Retail,El Zahra,1601 Birchmount,ethnic
1996,Scarborough,Grocers-Retail,Eraa Supermarket,2607 Eglinton E,sri lankan
1996,Scarborough,Grocers-Retail,Eterne Cash & Carry Company Ltd,3300 McNicoll,
1996,Scarborough,Grocers-Retail,Evergreen Food Market,8 Glen Watford Dr,
1996,Scarborough,Grocers-Retail,Family Food Fair Convenience,2680 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Fantastic Bill Trading Co,60 Melford Dr,
1996,Scarborough,Grocers-Retail,Farah Grocer,3601 Lawrence Av E,ethnic
1996,Scarborough,Grocers-Retail,Food Basics,250 Alton Towers Cir,
1996,Scarborough,Grocers-Retail,Food For You,2349 Haines,
1996,Scarborough,Grocers-Retail,Foodarama Supermarket,20 Slan,
1996,Scarborough,Grocers-Retail,Friendly Supermarket,3280 Midland,
1996,Scarborough,Grocers-Retail,G Prasad Caribbean & Oriental Specialty Foods Inc,5818 Sheppard Av E,ethnic
1996,Scarborough,Grocers-Retail,Galati Brothers Supermarkets,3331 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Ganesha Spicy Mart,3743 Lawrence Av E,south asian
1996,Scarborough,Grocers-Retail,Grand Mart Cash & Carry Outlet,4466 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Greystone Food Market,6 Greystone Walk,
1996,Scarborough,Grocers-Retail,Handy Supermart,790 Military Trl,
1996,Scarborough,Grocers-Retail,Hasty Market,577 Birchmount,
1996,Scarborough,Grocers-Retail,Heisei Mart,3325 Victoria Park,
1996,Scarborough,Grocers-Retail,Henley Gardens Valu-Mart,1089 Kingston Rd,
1996,Scarborough,Grocers-Retail,Highland Creek Supermarket,362 Old Kingston,
1996,Scarborough,Grocers-Retail,Highland Farms Supermarkets,850 Ellesmere,
1996,Scarborough,Grocers-Retail,Hyung Jae Food Market,3478 Lawrence Av E,
1996,Scarborough,Grocers-Retail,India Town Food & Spices,641 Markham Rd,india
1996,Scarborough,Grocers-Retail,Indian Groceries & Spices,1983 Lawrence Av E,india
1996,Scarborough,Grocers-Retail,Jaffna Food & Variety,885 Progress,sri lankan
1996,Scarborough,Grocers-Retail,Johnvince Foods,2950 Eglinton E,
1996,Scarborough,Grocers-Retail,Jubilee Grocers,1505 Birchmount,
1996,Scarborough,Grocers-Retail,KWS Trading Inc,1571 Sandhurst Cir,
1996,Scarborough,Grocers-Retail,Kashmir Food,1073 Midland Av,south asian
1996,Scarborough,Grocers-Retail,Katpakham,864 Markham Rd,
1996,Scarborough,Grocers-Retail,King's Variety,4280 Kingston Rd,
1996,Scarborough,Grocers-Retail,Kingston Market,4379 Kingston Rd,
1996,Scarborough,Grocers-Retail,Kingston Rd Supermarket,2224 Kingston Rd,
1996,Scarborough,Grocers-Retail,Knob Hill Farms Ltd,1900 Eglinton E,
1996,Scarborough,Grocers-Retail,Kostas Meat Market,122 Ellesmere,
1996,Scarborough,Grocers-Retail,Lamshing Company,4271 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Lebanon Foodmart,479 Kennedy Rd,
1996,Scarborough,Grocers-Retail,Lourdes East & West,199 Markham Rd,
1996,Scarborough,Grocers-Retail,Lucky Dollar Food Centre (East),6099 Kingston Rd,
1996,Scarborough,Grocers-Retail,M&M Grocery,840 Danforth Rd,
1996,Scarborough,Grocers-Retail,Man Ming Supermarket,4188 Finch E,
1996,Scarborough,Grocers-Retail,Mee Wah,4134 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Milk City,3226 Eglinton E,
1996,Scarborough,Grocers-Retail,Mini Food World,1472 Kingston Rd,
1996,Scarborough,Grocers-Retail,Minochs Mini Mart,1151 Victoria Park,
1996,Scarborough,Grocers-Retail,Miracle Food Mart,15 Ellesmere,
1996,Scarborough,Grocers-Retail,Miracle Food Mart,5085 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Mr Discount,2821 Kingston Rd,
1996,Scarborough,Grocers-Retail,Mr Grocer,123 Guildwood Pkwy,
1996,Scarborough,Grocers-Retail,Nasr Foods Inc,1996 Lawrence Av E,ethnic
1996,Scarborough,Grocers-Retail,Nicey's Food Mart,60 Morecambe Gate,
1996,Scarborough,Grocers-Retail,Nicoll Supermarket,3301 McNicoll,
1996,Scarborough,Grocers-Retail,Noor's Grocery & Variety Store,1177 Victoria Park,ethnic
1996,Scarborough,Grocers-Retail,Pankan Milk Convenience Store,3160 Eglinton E,
1996,Scarborough,Grocers-Retail,Pat East Market,1987 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Persads West Indian Grocery,462 Birchmount,
1996,Scarborough,Grocers-Retail,Phil's Supermarket,2557 Warden,
1996,Scarborough,Grocers-Retail,Pik-Kwik Convenience Stores,2300 Englinton E,
1996,Scarborough,Grocers-Retail,Pillayar Traders,3630 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Pirri's Country Fair Scarboro Ltd,1255 Markham Rd,
1996,Scarborough,Grocers-Retail,Poombhuhar Traders Inc,2190 Warden,south asian
1996,Scarborough,Grocers-Retail,Pricelo ,3330 Pharmacy Av,
1996,Scarborough,Grocers-Retail,Prince Supermarket,3502 Danforth Av,
1996,Scarborough,Grocers-Retail,Rosner Food Store,2675 Eglinton E,
1996,Scarborough,Grocers-Retail,Royal Convenience Food market,115 Montezuma Trl,
1996,Scarborough,Grocers-Retail,Royal Grocery,653 Victoria Park,
1996,Scarborough,Grocers-Retail,Rubini East & West Indian Food Market,31 Tapscott,ethnic
1996,Scarborough,Grocers-Retail,SPM Food Market,2950 Kennedy,
1996,Scarborough,Grocers-Retail,Sadroo's Grocery Supplies Ltd,318 Painted Post Dr,ethnic
1996,Scarborough,Grocers-Retail,Sai Combine Inc,3230 Eglinton E,
1996,Scarborough,Grocers-Retail,Sampaguita Food Ltd,501 Pharmacy Av,
1996,Scarborough,Grocers-Retail,Sandown Market ,1800 Pharmacy Av,
1996,Scarborough,Grocers-Retail,Sandown Market West,826 Brown's Line,
1996,Scarborough,Grocers-Retail,Sandown Mkr,221 Kennedy,
1996,Scarborough,Grocers-Retail,Saravana's Market,1023 Markham Rd,south asian
1996,Scarborough,Grocers-Retail,Scarboro Blue Ribbon Foods Ltd,50 Morecambe Gate,
1996,Scarborough,Grocers-Retail,Scarboro Grocery Inc,228 Markham Rd,
1996,Scarborough,Grocers-Retail,Scarborough Zabeeha Meat & Grocery Supplies,4800 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Seasun Market,240 Alton Towers Cir,
1996,Scarborough,Grocers-Retail,Serendib Fresh Market,2631 Eglinton E,
1996,Scarborough,Grocers-Retail,Sheila's West Indian Food Store,3214 Eglinton E,
1996,Scarborough,Grocers-Retail,Shueng Thai Super Market,2684 Eglinton E,
1996,Scarborough,Grocers-Retail,Shop 2000 Ltd,2585 Victoria Park,
1996,Scarborough,Grocers-Retail,Sivas Trading Co Ltd,3852 Finch E,
1996,Scarborough,Grocers-Retail,Solas Market,2588 Birchmount,
1996,Scarborough,Grocers-Retail,Soon Lee Supermarket,2401 Eglinton E,
1996,Scarborough,Grocers-Retail,Spice Town And Halal Meat Store,3258 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Sri-Murgan Traders,3857 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Srivengadeswaras,904 Markham Rd,south asian
1996,Scarborough,Grocers-Retail,Sukhis Food Store,880 Ellesmere,
1996,Scarborough,Grocers-Retail,Sunnyside Supermarket,1738 Lawrence Av E,"""Oriental & Canadian Foods"""
1996,Scarborough,Grocers-Retail,Sunsplash Foods,3477 Kennedy,
1996,Scarborough,Grocers-Retail,Taj Supermarket,400 Sewells Rd,indian
1996,Scarborough,Grocers-Retail,Town Grocery,3655 St Clair,
1996,Scarborough,Grocers-Retail,Tropical Food Store,2978 Eglinton E,
1996,Scarborough,Grocers-Retail,U-Market,9 Progress,
1996,Scarborough,Grocers-Retail,Victory Supermarket Ltd,4559 Sheppard Av E,
1996,Scarborough,Grocers-Retail,Video & FIlipino Food Market,80 Ellesmere,
1996,Scarborough,Grocers-Retail,VSG Grocery Store,2296 Eglinton E,
1996,Scarborough,Grocers-Retail,Wah Fai Supermarket,2301 Brimley,
1996,Scarborough,Grocers-Retail,West Indian Fine Foods & Fruit Market,3601 Lawrence Av E,
1996,Scarborough,Grocers-Retail,Won's Grocery Store,1439 Kingston Rd,
1996,Scarborough,Grocers-Retail,Yarlnagar Traders,1239 Ellesmere,
1996,Scarborough,Grocers-Retail,Young's Food Mart,4190 Kingston Rd,
1996,Scarborough,Grocers-Retail,Young's Milk,1546 Warden,
1996,Scarborough,Grocers-Retail,Yu-Fung Trading Inc,25 Glen Watford Dr,
1996,Scarborough,Grocers-Retail,Zabeeha Meat & Grocery Store,1536 Warden,ethnic
1996,Scarborough,Grocers-Whole,Allied Food Service,4500 Shepherd Av E,
1996,Scarborough,Grocers-Whole,Can-Roxy Trading Inc,110 Ironside Cr,
1996,Scarborough,Grocers-Whole,Don Don Company,27 Milliken,
1996,Scarborough,Grocers-Whole,Famous Wholesale,1151 Victoria Park,
1996,Scarborough,Grocers-Whole,Grace Kennedy (Ontario) Inc,45 Mural,"""East & West Indian"""
1996,Scarborough,Grocers-Whole,Grocery Exports Inc,3471 Kingston Rd,
1996,Scarborough,Grocers-Whole,Jamcan Caribbean Imports,1111 Finch W,
1996,Scarborough,Grocers-Whole,Kingfresh Trading Ltd,75 Milliken,
1996,Scarborough,Grocers-Whole,Kingsdale Trading Co Ltd,77 Milliken,
1996,Scarborough,Grocers-Whole,Kissan International Canada Incorporated,605 Middlefield,
1996,Scarborough,Grocers-Whole,Kouri Foods Inc,380 Tapscott,
