Year,City,YP_Section,Name,Address,Cuisine
2001,Markham,grocers-retail,apna grocers,7200 markham rd,ethnic
2001,Markham,grocers-retail,asian caribbean food inc,2002 middlefield rd,ethnic
2001,Markham,grocers-retail,bahay kubo food mart,2002 middlefield rd,
2001,Markham,grocers-retail,bailantrae fruit & vegetable market,2 stouffville,
2001,Markham,grocers-retail,big land farm markham ltd,20 duffield dr,
2001,Markham,grocers-retail,binko fine foods,3255 hwy 7,
2001,Markham,grocers-retail,daya,8236 yonge,indian
2001,Markham,grocers-retail,ding dong,4300 steeles e,
2001,Markham,grocers-retail,doramon world inc,8360 kennedy,
2001,Markham,grocers-retail,foodfair supermarket,4394 steeles e,
2001,Markham,grocers-retail,four five six trading ltd,7220 kennedy rd,
2001,Markham,grocers-retail,garden basket food martkets,9275 hwy 48,
2001,Markham,grocers-retail,heisei mart,3160 steeles e,
2001,Markham,grocers-retail,hong fat seafood market,7750 kennedy,
2001,Markham,grocers-retail,i g a unionville,4721 hwy 7 e,
2001,Markham,grocers-retail,jenga super market,5 hillcroft dr,
2001,Markham,grocers-retail,longo's,3085 hwy 7,
2001,Markham,grocers-retail,longo's,7355 bayview ave,
2001,Markham,grocers-retail,markham fine foods,23 wootten way n,
2001,Markham,grocers-retail,markham i g a store,5694 hwy 7,
2001,Markham,grocers-retail,priya grocery,2 fenton rd,ethnic
2001,Markham,grocers-retail,priya's,1661 denison,ethnic
2001,Markham,grocers-retail,sadroo's grocery supplies,487 mcnicoll,ethnic
2001,Markham,grocers-retail,shadlock supermarket,8 shadlock st,
2001,Markham,grocers-retail,sheng noong supermarket,7220 kennedy rd,
2001,Markham,grocers-retail,spicetown halal meat & vegetable market,280 elson,ethnic
2001,Markham,grocers-retail,stouffvilee iga,5887 main,
2001,Markham,grocers-retail,weton produce inc,9625 yonge,
2001,Markham,grocers-retail,yihua fruit market,3636 steeles e,
2001,Markham,grocers-whole,bapu khoya,50 don park,south asian
2001,Markham,grocers-whole,empire foods limited,205 torbay rd,
2001,Markham,grocers-whole,famous wholesale,19 randall av,
2001,Markham,grocers-whole,kua hua trading co,105 riviera dr,
2001,Markham,grocers-whole,lanzarotta wholesale grovers limited,10 ronrose,
2001,Markham,grocers-whole,m & d trading company,100 steelcase e,
2001,Markham,grocers-whole,wenho company ltd,205 konrad cr,
2001,Markham,grocers-whole,winford trading co ltd,3400 fourteenth,
2001,Markham,grocers-whole,yi hua fruit market,105 riviera dr,
2001,Markham,restaurants,a & w food services of canada ltd,5000 hwy 7,
2001,Markham,restaurants,a & w food services of canada ltd,35 wootten way n,
2001,Markham,restaurants,absolute-ly greek,4035 gordon baker,
2001,Markham,restaurants,akasaka japanese rest,280 west beaver creek,
2001,Markham,restaurants,al dente ristorante italiano,39 main st,
